"skills","skill_count"
"[Social Media, Sales, Photoshop]","3"
"[Communication, Teamwork, Customer Service]","3"
"[Communication, SEO]","2"
"[Leadership, Communication, Data Analysis]","3"
"[Project Management, Leadership, Communication]","3"
"[Leadership, Photoshop]","2"
"[Leadership, Communication, Customer Service, Sales]","4"
"[Leadership, Teamwork]","2"
"[Excel, Project Management, Leadership, Communication, Teamwork, Social Media, Customer Service]","7"
"[Communication, Sales]","2"
"[Go, Communication, Customer Service]","3"
"[CRM, Communication, Teamwork]","3"
"[Communication, Customer Service]","2"
"[Teamwork, SEO, Social Media]","3"
"[Excel, Communication]","2"
"[Communication, Customer Service]","2"
"[Excel, Teamwork, Customer Service]","3"
"[Go, Communication, Customer Service]","3"
"[JavaScript, PHP, MySQL, Communication, Teamwork]","5"
"[Excel, Communication]","2"
"[Excel, Communication]","2"
"[Communication, Teamwork]","2"
"[Excel, CRM, Social Media, Sales]","4"
"[JavaScript, PHP, Communication, Sales]","4"
"[SAP, Communication, Sales, Quality Assurance]","4"
"[Leadership, Customer Service]","2"
"[Leadership, Communication, Sales]","3"
"[Communication, SEO]","2"
"[CRM, Project Management, Social Media, Google Analytics, Sales, Photoshop]","6"
"[Teamwork, Sales]","2"
"[Social Media, Sales]","2"
"[CRM, Communication, Sales]","3"
"[Leadership, Communication]","2"
"[Leadership, Communication]","2"
"[Excel, Communication]","2"
"[Go, Excel, PowerPoint, Communication, Customer Service]","5"
"[Leadership, Communication, Customer Service]","3"
"[Communication, Problem Solving, Customer Service]","3"
"[Leadership, Communication, Customer Service, Sales]","4"
"[SQL, Excel, Tableau, Power BI, Leadership, Teamwork, Business Analysis, Sales]","8"
"[Go, Sales]","2"
"[REST API, Excel, PowerPoint, Leadership, Customer Service, Sales]","6"
"[Communication, Problem Solving, Customer Service]","3"
"[Excel, PowerPoint, Leadership, Communication, Teamwork, Sales]","6"
"[Python, JavaScript, TypeScript, React, Node.js, PostgreSQL, MongoDB, AWS, Azure, GCP, CI/CD, Agile, Communication, Teamwork, Quality Assurance]","15"
"[Communication, Customer Service, Sales]","3"
"[Excel, Customer Service, Sales]","3"
"[Excel, Communication]","2"
"[Excel, Communication, Sales, Quality Assurance]","4"
"[Communication, Quality Assurance]","2"
"[Excel, Tableau, Power BI, Communication, Data Analysis]","5"
"[Leadership, Communication, Sales]","3"
"[Go, Leadership, Communication, Teamwork, Sales]","5"
"[CRM, Leadership, Communication, Teamwork]","4"
"[Project Management, Communication]","2"
"[Communication, Customer Service]","2"
"[Communication, Social Media]","2"
"[Communication, Teamwork, Social Media, Sales]","4"
"[PowerPoint, CRM, Social Media, Sales, Photoshop]","5"
"[Communication, Social Media]","2"
"[Project Management, Communication]","2"
"[Excel, Leadership, Communication, Teamwork, Quality Assurance]","5"
"[Java, Jenkins, Jira, Salesforce, Communication]","5"
"[Customer Service, Sales]","2"
"[Go, Excel, Communication, Social Media, Quality Assurance]","5"
"[CRM, Communication, Social Media, Sales]","4"
"[Go, Communication, Customer Service]","3"
"[Leadership, Communication, Problem Solving, Teamwork, Social Media]","5"
"[Leadership, Sales]","2"
"[Python, SQL, AWS, Spark, Big Data]","5"
"[JavaScript, Node.js, SQL, SAP]","4"
"[Excel, PowerPoint, Leadership, Communication]","4"
"[Project Management, Communication]","2"
"[Excel, PowerPoint, Project Management, Leadership, Communication]","5"
"[Excel, PowerPoint, Power BI, Communication, Sales]","5"
"[Communication, Social Media]","2"
"[Excel, Communication, Customer Service, Sales]","4"
"[Communication, Problem Solving]","2"
"[Agile, Excel, SAP, CRM, Communication, Sales]","6"
"[Excel, PowerPoint, Communication, Sales]","4"
"[Excel, Salesforce, Communication, Teamwork, Sales]","5"
"[Communication, Problem Solving, Customer Service, Sales]","4"
"[Go, Sales]","2"
"[Communication, Photoshop]","2"
"[Communication, Social Media]","2"
"[CRM, Sales]","2"
"[Excel, Leadership, Customer Service]","3"
"[Leadership, Communication]","2"
"[Project Management, Communication, Teamwork]","3"
"[JavaScript, Angular, SQL, Agile, Scrum, Leadership, Communication, Problem Solving, Customer Service]","9"
"[Python, Communication]","2"
"[Leadership, Communication, Social Media]","3"
"[Communication, SEO, Social Media]","3"
"[Excel, Communication, Social Media, Customer Service]","4"
"[Communication, Customer Service]","2"
"[Go, Leadership, Communication]","3"
"[Communication, Teamwork, Social Media]","3"
"[Go, Leadership, Communication, Sales]","4"
"[Excel, Project Management, Communication, Sales]","4"
"[Social Media, Sales]","2"
"[Leadership, Communication, Teamwork]","3"
"[Excel, CRM, Communication, Customer Service, Sales]","5"
"[JavaScript, Java, TypeScript, React, REST API]","5"
"[Communication, Problem Solving]","2"
"[Communication, Customer Service]","2"
"[Excel, Teamwork, Sales]","3"
"[REST API, Communication, Customer Service]","3"
"[Excel, Communication, Customer Service]","3"
"[Communication, Teamwork, UI/UX]","3"
"[CRM, Project Management, Communication, Sales]","4"
"[Communication, Customer Service]","2"
"[CRM, Communication, Sales]","3"
"[JavaScript, TypeScript, Go, PostgreSQL, GCP, REST API, Kafka, Teamwork, Data Analysis, SEO, UI/UX]","11"
"[CRM, Leadership, Communication, Sales]","4"
"[Communication, Teamwork]","2"
"[Leadership, Communication, SEO, Social Media, Sales]","5"
"[Go, Excel, Leadership, Communication]","4"
"[Excel, PowerPoint, Leadership, Communication]","4"
"[Excel, Leadership, Communication, Problem Solving]","4"
"[Go, Social Media, Sales]","3"
"[Leadership, Communication]","2"
"[Excel, PowerPoint, Communication]","3"
"[Python, Terraform, CI/CD, Communication, Cybersecurity]","5"
"[Excel, PowerPoint, Communication, Sales]","4"
"[Communication, Teamwork]","2"
"[Python, Communication]","2"
"[Leadership, Communication, Teamwork, Sales]","4"
"[Project Management, Communication]","2"
"[Leadership, Communication, Financial Analysis]","3"
"[Communication, Customer Service, Sales]","3"
"[Project Management, Leadership, Communication, Social Media, Google Analytics, Customer Service, Sales, Quality Assurance]","8"
"[Project Management, Customer Service]","2"
"[Communication, Customer Service, Sales]","3"
"[Excel, Communication, Teamwork, Customer Service]","4"
"[Excel, SAP, Customer Service, Sales]","4"
"[Communication, Teamwork]","2"
"[Teamwork, Sales]","2"
"[Project Management, Communication, Social Media, Photoshop]","4"
"[Project Management, Communication, Problem Solving, Teamwork, Customer Service, Sales]","6"
"[Go, Teamwork, Quality Assurance]","3"
"[CRM, Project Management, Communication]","3"
"[Leadership, Communication]","2"
"[Excel, PowerPoint, Leadership, Communication, Customer Service, Sales]","6"
"[Communication, Sales]","2"
"[Excel, PowerPoint, Communication, Sales]","4"
"[Excel, Leadership, Communication, Customer Service, Sales]","5"
"[Salesforce, Communication, Sales]","3"
"[Excel, Communication]","2"
"[Agile, Scrum, SAP, Leadership, Communication, Problem Solving, Business Analysis]","7"
"[Excel, Communication, Social Media, Customer Service, Sales]","5"
"[Leadership, Customer Service]","2"
"[Python, Communication, Teamwork]","3"
"[CRM, Teamwork, Customer Service, Sales]","4"
"[AWS, GCP, Agile, Cybersecurity]","4"
"[Project Management, Communication, Teamwork, Social Media, Google Analytics, Customer Service]","6"
"[Leadership, Communication]","2"
"[PowerPoint, Project Management, Communication]","3"
"[Communication, Customer Service]","2"
"[JavaScript, Agile, Scrum]","3"
"[Excel, Leadership, Communication, Sales]","4"
"[Excel, CRM, Project Management, Leadership, Communication, Social Media]","6"
"[Excel, CRM, Project Management, Communication, Problem Solving, Teamwork, Customer Service, Sales]","8"
"[JavaScript, TypeScript, Node.js, AWS, CI/CD, Communication]","6"
"[Excel, PowerPoint, CRM, Communication, Teamwork, Sales]","6"
"[Leadership, SEO, Sales]","3"
"[Go, Communication, Sales]","3"
"[Project Management, Leadership, Teamwork, Quality Assurance]","4"
"[Leadership, Communication]","2"
"[Go, Communication, Customer Service]","3"
"[Excel, Leadership, Communication]","3"
"[Communication, Customer Service]","2"
"[Leadership, Communication, Customer Service]","3"
"[Python, SQL, AWS, Git, Kafka, ETL]","6"
"[JavaScript, React, Project Management, Leadership, Teamwork, Social Media, UI/UX, Figma, Quality Assurance]","9"
"[Excel, PowerPoint, Communication, Customer Service]","4"
"[Excel, Project Management, Communication]","3"
"[Excel, Social Media, Sales]","3"
"[Excel, Communication]","2"
"[Excel, PowerPoint, Communication, Sales]","4"
"[Excel, Leadership, Communication]","3"
"[Sales, UI/UX]","2"
"[Excel, PowerPoint]","2"
"[Excel, Communication]","2"
"[Go, Communication, Teamwork, Social Media, Customer Service, Sales]","6"
"[Excel, Communication, Sales]","3"
"[Communication, Customer Service]","2"
"[Leadership, Communication, Social Media]","3"
"[Leadership, Communication]","2"
"[Excel, Communication]","2"
"[Leadership, Communication, Sales]","3"
"[Leadership, Customer Service]","2"
"[Excel, Communication]","2"
"[SQL, Communication]","2"
"[Communication, Sales]","2"
"[Python, Machine Learning, Teamwork]","3"
"[Communication, Customer Service, Sales]","3"
"[Excel, CRM, Leadership, Communication, Teamwork]","5"
"[Go, Excel, Communication]","3"
"[Data Analysis, Sales]","2"
"[Communication, Customer Service, Sales]","3"
"[Customer Service, Sales]","2"
"[Communication, Social Media]","2"
"[Social Media, Sales]","2"
"[Go, React, Excel, Project Management]","4"
"[TypeScript, C++, Go, Rust, React, Node.js, Git]","7"
"[Java, React, REST API, Communication, Problem Solving]","5"
"[Communication, Customer Service]","2"
"[TypeScript, SAP, Project Management, Communication, Teamwork]","5"
"[TypeScript, SAP, Project Management, Communication, Teamwork]","5"
"[Excel, Communication]","2"
